1,0, Yessss proud  you  
2,1, Wait what tournament was this Got  bracket 
3,0,  This shit made  wanna cry too lmao Congrats 
4,0, Damn  missed  frontrunner 
5,1,Live Road  top  continuesThe new team  good  more getting fucked  Come through  
6,1,  can you please link your fire tweet  this exact moment Lmao 
7,1, Hugging was never allowed unless initiated  the loserI actually dont remember  time when anyone would handshake lmaoFistbumps till the end  time  
8,0, glad Mike and  posted these tweets AFTER filming  latest video   
9,1,Say HELLO  our bright and shining faces participating  SmashSummit  Online The final THREE players joining them will  determined THIS Saturday through the Rollback Rumble Qualifier GET HYPED   
10,0, LOL this  worse than the Nigerian prince scam Who falls for this 
11,0, Bruh  was hella alone about  start  hike Mad weird 
12,0, dude pulled    Mercedes van with his kid  the passengers seat speaking  Spanish saying hes from Canada offering  his gold ring for some gas money   confused 
13,0,For the record   tweet did not make the list  was too  
14,1,The WORST Smash tweets  all timeWho makes the cutFind out   latest YouTube dropHit that SUBSCRIBE button and turn  notifications  
15,1,  Nah this  fire LOOOL 
16,1, LOL nah its real 
17,0, Its  favorite  the bunch but also the least similar lmao 
18,1,Live Checking out this Ginger Doc  Zain Roy set and addressing the hatersPokemon after  
19,0,   sure there  but also people just kinda know how they show their affection through their experiences lolLike  know  gives  fuck about giving  receiving gifts lmao 
20,0, Quality Time gang rise  
21,1, Hey everyone can you take personal responsibility Pwetty pwease Doesnt really work  policy  this country LOL 
22,1, Why  that worse  was top  and  started   brand new meta and tanked down  the relatively fewer games Ive played lol 
23,0, Makes  very sad that this DMCA business has taken away from the novelty  hearing this fire soundtrack Ive grown kinda tired    this point and thats  WRONG 
24,1, Everyones  goddamn innovator  this ELO lmao 
25,0,  pay stupid money for this 
26,0, What  this person   fan  Debra Taylors  Chakra Narrated and simply got caughtReally makes you think  
27,1,     you and  pretty sure youre playing the Celeste soundtrack  stream   type this lmao 
28,1, knew  was time  put away the Celeste soundtrack when someone came into  chat and said  you have the same music taste  IBDW 
29,1,From  alum who built Twitch SupportA lot  this   the music industrys shitty laws but dont exempt Twitch from blame Theyve been extremely negligent  all this   
30,0, Lmao most  these are  matches from january 
31,1,Coming  with  grand idea every stream  exhausting and  that idea   dud its defeating  wellHaving Pokemon Showdown   reliable goto stream that people love watching has been amazing for  mental Really cant thank yall enough for tuning  
32,1, LOOOLI got  pokemon card plug  
33,1,  ELO hell and  need  get out  
34,1, Would you mind   used part  this for  emote   stream 
35,0, School credit cards normal millennial shit lol 
36,1, Thats fire LOL thanks for the emote idea 
37,0,  Aight lemme know whenever youre all tryna and Ill see   free  
38,0, Hes not   current team but youre damn right  use Toxapex 
39,0,Mannnnn keep  coming   
40,0,  Yall got room one  these days  
41,1,Its  top  squad  sick  
42,0, School loans car loan and one shitty small credit card  opened  high school that  forgot about lmao Itll    and final credit card paid off after today  
43,0,Getting closer and closer  being completely debt free Finally feeling free enough  start investing with  money 
44,0, LOL wow you son   bitch 
45,0,  you think you can handle  little soreness before heading  snowboard  say skip the day after snowboarding Because youll definitely need  skip the gym after your first time boarding 
46,0, Snowboarding will absolutely wreck your body   think its okay  skip LOLYoure gonna  crazy sore after 
